prefix,resource,organisation,reference,entity
ramsar,,,UK11001,612001
ramsar-site,,,220,612001
wikidata,,,Q4663930,612001
ramsar,,,UK11002,612002
ramsar-site,,,862,612002
wikidata,,,Q1786232,612002
ramsar,,,UK11004,612003
ramsar-site,,,1011,612003
wikidata,,,Q261603,612003
ramsar,,,UK11005,612004
ramsar-site,,,926,612004
wikidata,,,Q19710,612004
ramsar,,,UK11006,612005
ramsar-site,,,648,612005
wikidata,,,Q22004776,612005
ramsar,,,UK11007,612006
ramsar-site,,,543,612006
wikidata,,,Q4923541,612006
ramsar,,,UK11008,612007
ramsar-site,,,821,612007
wikidata,,,Q4962793,612007
ramsar,,,UK11010,612008
ramsar-site,,,68,612008
wikidata,,,Q1999046,612008
ramsar,,,UK11012,612009
ramsar-site,,,300,612009
wikidata,,,Q1070604,612009
ramsar,,,UK11013,612010
ramsar-site,,,378,612010
wikidata,,,Q5096001,612010
ramsar,,,UK11014,612011
ramsar-site,,,544,612011
wikidata,,,Q27990714,612011
ramsar,,,UK11015,612012
ramsar-site,,,665,612012
wikidata,,,Q22004786,612012
ramsar,,,UK11058,612013
ramsar-site,,,721,612013
wikidata,,,Q22004788,612013
ramsar,,,UK11017,612014
ramsar-site,,,794,612014
wikidata,,,Q30587695,612014
ramsar,,,UK11018,612015
ramsar-site,,,651,612015
wikidata,,,Q5256950,612015
ramsar,,,UK11019,612016
ramsar-site,,,751,612016
wikidata,,,Q5263268,612016
ramsar,,,UK11022,612018
ramsar-site,,,938,612018
wikidata,,,Q5311678,612018
ramsar,,,UK11024,612020
ramsar-site,,,536,612020
wikidata,,,Q821474,612020
ramsar,,,UK11025,612021
ramsar-site,,,542,612021
wikidata,,,Q5419753,612021
ramsar,,,UK11026,612022
ramsar-site,,,861,612022
wikidata,,,Q5474214,612022
ramsar,,,UK11027,612023
ramsar-site,,,589,612023
wikidata,,,Q5559190,612023
ramsar,,,UK11028,612024
ramsar-site,,,607,612024
wikidata,,,Q24641396,612024
ramsar,,,UK11030,612025
ramsar-site,,,302,612025
wikidata,,,Q5878816,612025
ramsar,,,UK11031,612026
ramsar-site,,,663,612026
wikidata,,,Q550995,612026
ramsar,,,UK11033,612028
ramsar-site,,,1095,612028
wikidata,,,Q180209,612028
ramsar,,,UK11034,612029
ramsar-site,,,1037,612029
wikidata,,,Q6508236,612029
ramsar,,,UK11035,612030
ramsar-site,,,323,612030
wikidata,,,Q6519775,612030
ramsar,,,UK11036,612031
ramsar-site,,,70,612031
wikidata,,,Q213804,612031
ramsar,,,UK11037,612032
ramsar-site,,,301,612032
wikidata,,,Q546983,612032
ramsar,,,UK11038,612033
ramsar-site,,,634,612033
wikidata,,,Q1225708,612033
ramsar,,,UK11039,612034
ramsar-site,,,324,612034
wikidata,,,Q6776181,612034
ramsar,,,UK11040,612035
ramsar-site,,,645,612035
wikidata,,,Q1434222,612035
ramsar,,,UK11041,612036
ramsar-site,,,785,612036
wikidata,,,Q19724,612036
ramsar,,,UK11044,612040
ramsar-site,,,75,612040
wikidata,,,Q16247516,612040
ramsar,,,UK11045,612041
ramsar-site,,,863,612041
wikidata,,,Q1866414,612041
ramsar,,,UK11046,612043
ramsar-site,,,587,612043
wikidata,,,Q6991602,612043
ramsar,,,UK11047,612044
ramsar-site,,,622,612044
wikidata,,,Q277755,612044
ramsar,,,UK11048,612045
ramsar-site,,,76,612045
wikidata,,,Q7051002,612045
ramsar,,,UK11051,612047
ramsar-site,,,77,612047
wikidata,,,Q3358495,612047
ramsar,,,UK11052,612048
ramsar-site,,,396,612048
wikidata,,,Q7124346,612048
ramsar,,,UK11053,612049
ramsar-site,,,973,612049
wikidata,,,Q7179522,612049
ramsar,,,UK11054,612050
ramsar-site,,,1005,612050
wikidata,,,Q1645369,612050
ramsar,,,UK11055,612051
ramsar-site,,,720,612051
wikidata,,,Q7232468,612051
ramsar,,,UK11056,612052
ramsar-site,,,513,612052
wikidata,,,Q7305880,612052
ramsar,,,UK11057,612053
ramsar-site,,,325,612053
wikidata,,,Q7322249,612053
ramsar,,,UK11060,612054
ramsar-site,,,221,612054
wikidata,,,Q7370007,612054
ramsar,,,UK11061,612055
ramsar-site,,,588,612055
wikidata,,,Q7375211,612055
ramsar,,,UK11062,612056
ramsar-site,,,533,612056
wikidata,,,Q822190,612056
ramsar,,,UK11081,612057
ramsar-site,,,67,612057
wikidata,,,Q12068771,612057
ramsar,,,UK11063,612058
ramsar-site,,,965,612058
wikidata,,,Q502233,612058
ramsar,,,UK11064,612059
ramsar-site,,,914,612059
wikidata,,,Q6376320,612059
ramsar,,,UK11067,612062
ramsar-site,,,662,612062
wikidata,,,Q27990758,612062
ramsar,,,UK11069,612064
ramsar-site,,,1025,612064
wikidata,,,Q3059075,612064
ramsar,,,UK11070,612065
ramsar-site,,,664,612065
wikidata,,,Q55099023,612065
ramsar,,,UK11082,612066
ramsar-site,,,298,612066
wikidata,,,Q5249904,612066
ramsar,,,UK11071,612067
ramsar-site,,,299,612067
wikidata,,,Q3506402,612067
ramsar,,,UK11072,612068
ramsar-site,,,395,612068
wikidata,,,Q1463998,612068
ramsar,,,UK11083,612070
ramsar-site,,,2023,612070
wikidata,,,Q28407031,612070
ramsar,,,UK11076,612072
ramsar-site,,,538,612072
wikidata,,,Q7963543,612072
ramsar,,,UK11077,612073
ramsar-site,,,752,612073
wikidata,,,Q7998320,612073
ramsar,,,UK11078,612074
ramsar-site,,,753,612074
wikidata,,,Q23103563,612074
ramsar,,,UK11021,612075
ramsar-site,,,964,612075
wikidata,,,Q16974091,612075
ramsar,,,UK11065,612076
ramsar-site,,,1038,612076
ramsar,,,UK11068,612077
ramsar-site,,,741,612077
ramsar,,,UK11066,612078
ramsar-site,,,646,612078
ramsar,,,UK11032,612079
ramsar-site,,,303,612079
ramsar,,,UK11079,612080
ramsar-site,,,341,612080
ramsar,,,UK11080,612081
ramsar-site,,,891,612081
ramsar,,,UK11074,612082
ramsar-site,,,647,612082
ramsar,,,UK11023,612083
ramsar,,,UK11042,612084
ramsar-site,,,2202,612084
ramsar,,,UK11043,612085
ramsar-site,,,653,612085
ramsar,,,UK11049,612086
ramsar-site,,,1019,612086
